unique_row,randomstate,rows,features,SVC train,SVC test,pqk_train ry + cz,pqk_test ry + cz,pqk_train rxryrx + cz,pqk_test rxryrx + cz,pqk_train ryrzry + cz,pqk_test ryrzry + cz,pqk_train heisenberg,pqk_test heisenberg,pqk_train zzfeaturemap,pqk_test zzfeaturemap,qsvc_zz_featuremap_train,qsvc_zz_featuremap_test
85962817_600_10,85962817,600,10,0.8833333333333333,0.8633333333333333,0.8833333333333333,0.8633333333333333,0.8933333333333333,0.8333333333333334,,,0.8866666666666667,0.8466666666666667,0.52,0.42,1.0,0.7266666666666667
16941941_600_10,16941941,600,10,0.8766666666666667,0.87,0.88,0.8633333333333333,0.8733333333333333,0.84,,,0.9066666666666666,0.86,0.72,0.4166666666666667,1.0,0.75
25457723_600_10,25457723,600,10,0.9366666666666666,0.86,0.9866666666666667,0.8633333333333333,0.9466666666666667,0.85,,,0.9333333333333333,0.8566666666666667,0.54,0.41333333333333333,0.9966666666666667,0.7
3748045_600_10,3748045,600,10,0.8333333333333334,0.86,0.82,0.8566666666666667,0.8233333333333334,0.8033333333333333,,,0.88,0.8266666666666667,0.79,0.41333333333333333,1.0,0.71
67903961_600_10,67903961,600,10,0.8133333333333334,0.8733333333333333,0.8366666666666667,0.8533333333333334,0.9066666666666666,0.8166666666666667,,,0.8233333333333334,0.85,0.7233333333333334,0.4066666666666667,1.0,0.6966666666666667
29217500_600_10,29217500,600,10,0.9266666666666666,0.8566666666666667,0.96,0.8566666666666667,0.8933333333333333,0.8233333333333334,,,0.88,0.8533333333333334,0.5433333333333333,0.43666666666666665,1.0,0.7133333333333334
46968337_600_10,46968337,600,10,0.8933333333333333,0.8433333333333334,0.9,0.8366666666666667,0.86,0.8133333333333334,,,0.9366666666666666,0.82,0.74,0.44333333333333336,1.0,0.6933333333333334
77004453_600_10,77004453,600,10,0.8533333333333334,0.8433333333333334,0.8666666666666667,0.8533333333333334,0.9,0.8233333333333334,,,0.8833333333333333,0.8366666666666667,0.4866666666666667,0.43,1.0,0.73
71649299_600_10,71649299,600,10,0.9133333333333333,0.84,0.9266666666666666,0.8366666666666667,0.9066666666666666,0.82,,,0.8466666666666667,0.8166666666666667,0.4866666666666667,0.41333333333333333,1.0,0.6866666666666666
67020850_600_10,67020850,600,10,0.8766666666666667,0.87,0.92,0.85,0.9333333333333333,0.8333333333333334,,,0.9633333333333334,0.84,0.65,0.44666666666666666,1.0,0.7366666666666667
67751225_600_10,67751225,600,10,0.8633333333333333,0.8566666666666667,0.88,0.8633333333333333,0.8266666666666667,0.8266666666666667,,,0.8533333333333334,0.8366666666666667,0.7466666666666667,0.45,1.0,0.6766666666666666
22364835_600_10,22364835,600,10,0.8,0.8166666666666667,0.7933333333333333,0.8233333333333334,0.8366666666666667,0.8033333333333333,,,0.9233333333333333,0.8066666666666666,0.52,0.4066666666666667,1.0,0.6966666666666667
68118828_600_10,68118828,600,10,0.88,0.87,0.8633333333333333,0.86,0.8633333333333333,0.8366666666666667,,,0.89,0.8566666666666667,0.7066666666666667,0.4633333333333333,1.0,0.6966666666666667
83178315_600_10,83178315,600,10,0.8733333333333333,0.88,0.86,0.8766666666666667,0.9433333333333334,0.8266666666666667,,,0.89,0.8666666666666667,0.5266666666666666,0.43,1.0,0.7633333333333333
5545549_600_10,5545549,600,10,0.8766666666666667,0.8566666666666667,0.8733333333333333,0.8433333333333334,0.8533333333333334,0.8333333333333334,,,0.89,0.8366666666666667,0.6666666666666666,0.4066666666666667,1.0,0.6833333333333333
4290924_600_10,4290924,600,10,0.8633333333333333,0.85,0.87,0.84,0.8666666666666667,0.8233333333333334,,,0.91,0.8433333333333334,0.7433333333333333,0.46,1.0,0.7166666666666667
48517924_600_10,48517924,600,10,0.95,0.8533333333333334,0.9433333333333334,0.85,0.9366666666666666,0.83,,,0.8966666666666666,0.8666666666666667,0.5933333333333334,0.44,1.0,0.7266666666666667
61001050_600_10,61001050,600,10,0.8433333333333334,0.8833333333333333,0.8433333333333334,0.8833333333333333,0.9133333333333333,0.86,,,0.9466666666666667,0.8666666666666667,0.7533333333333333,0.43333333333333335,1.0,0.6633333333333333
41292871_600_10,41292871,600,10,0.89,0.8633333333333333,0.88,0.8566666666666667,0.8966666666666666,0.8433333333333334,,,0.8566666666666667,0.8566666666666667,0.5266666666666666,0.43333333333333335,0.9933333333333333,0.6733333333333333
42061282_600_10,42061282,600,10,0.8633333333333333,0.85,0.8533333333333334,0.8433333333333334,0.8666666666666667,0.83,,,0.88,0.8466666666666667,0.6866666666666666,0.4266666666666667,1.0,0.6966666666666667
29067888_600_10,29067888,600,10,0.9666666666666667,0.87,0.9166666666666666,0.87,0.92,0.8566666666666667,,,0.93,0.8633333333333333,0.5833333333333334,0.44666666666666666,1.0,0.7333333333333333
39783732_600_10,39783732,600,10,0.87,0.87,0.85,0.8733333333333333,0.8966666666666666,0.8433333333333334,,,0.8966666666666666,0.8566666666666667,0.5,0.41333333333333333,1.0,0.69
33097033_600_10,33097033,600,10,0.9,0.8466666666666667,0.9133333333333333,0.8333333333333334,0.8966666666666666,0.81,,,0.87,0.8133333333333334,0.5133333333333333,0.4266666666666667,1.0,0.7433333333333333
87977141_600_10,87977141,600,10,0.9,0.8666666666666667,0.86,0.8566666666666667,0.8666666666666667,0.8366666666666667,,,0.9033333333333333,0.8666666666666667,0.78,0.43666666666666665,1.0,0.7433333333333333
37978636_600_10,37978636,600,10,0.83,0.8466666666666667,0.84,0.8466666666666667,0.87,0.8266666666666667,,,0.8466666666666667,0.8333333333333334,0.41,0.3933333333333333,0.9966666666666667,0.6533333333333333
18054048_600_10,18054048,600,10,0.8866666666666667,0.85,0.8466666666666667,0.8533333333333334,0.8666666666666667,0.8233333333333334,,,0.8633333333333333,0.8266666666666667,0.5066666666666667,0.42,1.0,0.6666666666666666
74796512_600_10,74796512,600,10,0.8433333333333334,0.85,0.88,0.8433333333333334,0.8733333333333333,0.8133333333333334,,,0.87,0.83,0.8366666666666667,0.43666666666666665,1.0,0.6966666666666667
3543374_600_10,3543374,600,10,0.8666666666666667,0.87,0.8833333333333333,0.86,0.91,0.8266666666666667,,,0.8833333333333333,0.8566666666666667,0.64,0.4166666666666667,1.0,0.6966666666666667
42609523_600_10,42609523,600,10,0.8533333333333334,0.8466666666666667,0.8633333333333333,0.8466666666666667,0.89,0.8266666666666667,,,0.8466666666666667,0.82,0.79,0.43666666666666665,1.0,0.7366666666666667
37819876_600_10,37819876,600,10,0.8866666666666667,0.84,0.8733333333333333,0.8366666666666667,0.8433333333333334,0.82,,,0.8566666666666667,0.8366666666666667,0.81,0.4266666666666667,1.0,0.6733333333333333
40280586_600_10,40280586,600,10,0.8733333333333333,0.8866666666666667,0.8666666666666667,0.89,0.8466666666666667,0.8566666666666667,,,0.89,0.87,0.7466666666666667,0.45666666666666667,1.0,0.7066666666666667
56164874_600_10,56164874,600,10,0.8966666666666666,0.8466666666666667,0.8633333333333333,0.85,0.91,0.8033333333333333,,,0.8633333333333333,0.86,0.7733333333333333,0.38666666666666666,0.9966666666666667,0.7266666666666667
46724679_600_10,46724679,600,10,0.83,0.84,0.8233333333333334,0.8366666666666667,0.8133333333333334,0.8166666666666667,,,0.8433333333333334,0.85,0.7133333333333334,0.39,1.0,0.7066666666666667
88286958_600_10,88286958,600,10,0.8566666666666667,0.8233333333333334,0.95,0.8366666666666667,0.94,0.8133333333333334,,,0.9233333333333333,0.83,0.5333333333333333,0.43666666666666665,1.0,0.6833333333333333
56311196_600_10,56311196,600,10,0.8333333333333334,0.8566666666666667,0.85,0.8566666666666667,0.8333333333333334,0.8133333333333334,,,0.8433333333333334,0.84,0.8366666666666667,0.45,0.9966666666666667,0.73
25080402_600_10,25080402,600,10,0.88,0.88,0.8733333333333333,0.8733333333333333,0.88,0.8533333333333334,,,0.8966666666666666,0.87,0.8333333333333334,0.44,0.9966666666666667,0.7233333333333334
85745120_600_10,85745120,600,10,0.85,0.85,0.98,0.8533333333333334,0.95,0.8366666666666667,,,0.8366666666666667,0.83,0.45666666666666667,0.4,1.0,0.6866666666666666
49039712_600_10,49039712,600,10,0.85,0.8766666666666667,0.8666666666666667,0.8666666666666667,0.8533333333333334,0.82,,,0.85,0.8533333333333334,0.82,0.45666666666666667,0.9966666666666667,0.7333333333333333
13978777_600_10,13978777,600,10,0.8533333333333334,0.8433333333333334,0.8933333333333333,0.8366666666666667,0.8633333333333333,0.79,,,0.93,0.8233333333333334,0.88,0.38333333333333336,1.0,0.73
49256663_600_10,49256663,600,10,0.8766666666666667,0.7966666666666666,0.8733333333333333,0.7966666666666666,0.9,0.8033333333333333,,,0.9566666666666667,0.8066666666666666,0.7633333333333333,0.41,1.0,0.6633333333333333
13427416_600_10,13427416,600,10,0.8833333333333333,0.8366666666666667,0.9266666666666666,0.84,0.8866666666666667,0.82,,,0.94,0.82,0.7933333333333333,0.42333333333333334,1.0,0.68
88734437_600_10,88734437,600,10,0.8366666666666667,0.8566666666666667,0.8333333333333334,0.8566666666666667,0.8966666666666666,0.8133333333333334,,,0.96,0.8466666666666667,0.6333333333333333,0.43,1.0,0.69
98777751_600_10,98777751,600,10,0.8933333333333333,0.8466666666666667,0.9533333333333334,0.85,0.94,0.8433333333333334,,,0.9166666666666666,0.8533333333333334,0.7266666666666667,0.42,1.0,0.6866666666666666
91697622_600_10,91697622,600,10,0.8766666666666667,0.8533333333333334,0.8566666666666667,0.8366666666666667,0.88,0.8133333333333334,,,0.87,0.84,0.7866666666666666,0.43666666666666665,0.9933333333333333,0.72
51394560_600_10,51394560,600,10,0.8866666666666667,0.85,0.8133333333333334,0.8533333333333334,0.8266666666666667,0.83,,,0.8266666666666667,0.86,0.7633333333333333,0.41333333333333333,1.0,0.6933333333333334
57153595_600_10,57153595,600,10,0.88,0.8466666666666667,0.85,0.85,0.9033333333333333,0.8233333333333334,,,0.88,0.8433333333333334,0.5733333333333334,0.41,1.0,0.7366666666666667
37371701_600_10,37371701,600,10,0.91,0.8133333333333334,0.9533333333333334,0.8,0.8966666666666666,0.78,,,0.89,0.8133333333333334,0.39666666666666667,0.4,0.9966666666666667,0.7066666666666667
56158178_600_10,56158178,600,10,0.89,0.86,0.8733333333333333,0.8566666666666667,0.8633333333333333,0.8433333333333334,,,0.89,0.8566666666666667,0.6266666666666667,0.3933333333333333,0.9966666666666667,0.6966666666666667
91590903_600_10,91590903,600,10,0.8833333333333333,0.7966666666666666,0.8633333333333333,0.79,0.9233333333333333,0.7766666666666666,,,0.8833333333333333,0.7833333333333333,0.49666666666666665,0.42,1.0,0.6566666666666666
38047027_600_10,38047027,600,10,0.8566666666666667,0.8433333333333334,0.8466666666666667,0.84,0.86,0.81,,,0.8533333333333334,0.84,0.45,0.41,1.0,0.7033333333333334
94123918_600_10,94123918,600,10,0.8866666666666667,0.8466666666666667,0.8866666666666667,0.8466666666666667,0.9,0.8233333333333334,,,0.9,0.8566666666666667,0.6266666666666667,0.43666666666666665,1.0,0.7133333333333334
35012628_600_10,35012628,600,10,0.8633333333333333,0.8866666666666667,0.8633333333333333,0.8733333333333333,0.8433333333333334,0.85,,,0.88,0.86,0.9233333333333333,0.39666666666666667,1.0,0.7
84839268_600_10,84839268,600,10,0.8766666666666667,0.8533333333333334,0.8766666666666667,0.85,0.88,0.8366666666666667,,,0.8766666666666667,0.8533333333333334,0.71,0.41333333333333333,1.0,0.7
59623168_600_10,59623168,600,10,0.8433333333333334,0.8666666666666667,0.8666666666666667,0.86,0.8666666666666667,0.8333333333333334,,,0.8833333333333333,0.8666666666666667,0.6433333333333333,0.48,1.0,0.72
8723654_600_10,8723654,600,10,0.86,0.8533333333333334,0.88,0.8633333333333333,0.8533333333333334,0.8366666666666667,,,0.99,0.8633333333333333,0.44666666666666666,0.4033333333333333,1.0,0.7333333333333333
58513751_600_10,58513751,600,10,0.9233333333333333,0.8566666666666667,0.9166666666666666,0.8533333333333334,0.9166666666666666,0.8266666666666667,,,0.9733333333333334,0.8533333333333334,0.7033333333333334,0.46,1.0,0.6766666666666666
10444454_600_10,10444454,600,10,0.8166666666666667,0.8333333333333334,0.8766666666666667,0.83,0.8466666666666667,0.8,,,0.8233333333333334,0.8266666666666667,0.6433333333333333,0.43666666666666665,1.0,0.6533333333333333
53427857_600_10,53427857,600,10,0.9033333333333333,0.84,0.96,0.85,0.91,0.8233333333333334,,,0.9566666666666667,0.8533333333333334,0.7566666666666667,0.46,1.0,0.67
29730392_600_10,29730392,600,10,0.8566666666666667,0.8433333333333334,0.8866666666666667,0.8366666666666667,0.8533333333333334,0.8233333333333334,,,0.8833333333333333,0.8533333333333334,0.62,0.38,0.9966666666666667,0.6833333333333333
60999118_600_10,60999118,600,10,0.8733333333333333,0.8666666666666667,0.85,0.8733333333333333,0.8966666666666666,0.8666666666666667,,,0.8966666666666666,0.8533333333333334,0.5566666666666666,0.4533333333333333,1.0,0.6433333333333333
43927281_600_10,43927281,600,10,0.92,0.82,0.8633333333333333,0.8266666666666667,0.8566666666666667,0.8266666666666667,,,0.8466666666666667,0.8166666666666667,0.5966666666666667,0.4166666666666667,1.0,0.6733333333333333
78177045_600_10,78177045,600,10,0.8333333333333334,0.83,0.8533333333333334,0.8333333333333334,0.84,0.8033333333333333,,,0.8766666666666667,0.8266666666666667,0.64,0.4266666666666667,1.0,0.7
284483_600_10,284483,600,10,0.8933333333333333,0.8333333333333334,0.8833333333333333,0.84,0.8633333333333333,0.8066666666666666,,,0.9366666666666666,0.8233333333333334,0.7366666666666667,0.45,0.9966666666666667,0.6733333333333333
18607042_600_10,18607042,600,10,0.8533333333333334,0.87,0.8433333333333334,0.8666666666666667,0.8833333333333333,0.8366666666666667,,,0.8833333333333333,0.86,0.6166666666666667,0.48,1.0,0.7166666666666667
81773313_600_10,81773313,600,10,0.85,0.8166666666666667,0.85,0.8133333333333334,0.89,0.78,,,0.9266666666666666,0.7966666666666666,0.8433333333333334,0.45666666666666667,1.0,0.6333333333333333
4071637_600_10,4071637,600,10,0.87,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.9133333333333333,0.8433333333333334,,,0.8266666666666667,0.85,0.8,0.42,1.0,0.7133333333333334
47569062_600_10,47569062,600,10,0.8966666666666666,0.8966666666666666,0.8566666666666667,0.8833333333333333,0.83,0.8533333333333334,,,0.8733333333333333,0.8866666666666667,0.7066666666666667,0.43666666666666665,1.0,0.7633333333333333
63803847_600_10,63803847,600,10,0.8866666666666667,0.8466666666666667,0.8666666666666667,0.85,0.86,0.8366666666666667,,,0.8566666666666667,0.8333333333333334,0.6666666666666666,0.43,1.0,0.6466666666666666
32795233_600_10,32795233,600,10,0.87,0.8533333333333334,0.8833333333333333,0.8433333333333334,0.8133333333333334,0.82,,,0.87,0.8533333333333334,0.51,0.3933333333333333,1.0,0.7333333333333333
15014976_600_10,15014976,600,10,0.9133333333333333,0.88,0.9133333333333333,0.8833333333333333,0.8966666666666666,0.86,,,0.9366666666666666,0.8633333333333333,0.87,0.42,1.0,0.6733333333333333
15592497_600_10,15592497,600,10,0.9666666666666667,0.86,0.98,0.8533333333333334,1.0,0.8233333333333334,,,0.89,0.8466666666666667,0.8433333333333334,0.44333333333333336,1.0,0.66
36336847_600_10,36336847,600,10,0.9466666666666667,0.8433333333333334,0.9466666666666667,0.84,0.91,0.8266666666666667,,,0.8966666666666666,0.8366666666666667,0.63,0.4,1.0,0.69
48888625_600_10,48888625,600,10,0.89,0.87,0.8933333333333333,0.8433333333333334,0.9,0.8066666666666666,,,0.91,0.8333333333333334,0.6133333333333333,0.4066666666666667,1.0,0.6733333333333333
36301381_600_10,36301381,600,10,0.8866666666666667,0.8366666666666667,0.9233333333333333,0.8333333333333334,0.85,0.81,,,0.9366666666666666,0.84,0.6766666666666666,0.42333333333333334,1.0,0.6633333333333333
2775898_600_10,2775898,600,10,0.9033333333333333,0.8533333333333334,0.8766666666666667,0.8433333333333334,0.88,0.82,,,0.93,0.8433333333333334,0.6233333333333333,0.45,1.0,0.69
78249422_600_10,78249422,600,10,0.96,0.81,0.94,0.81,0.8633333333333333,0.8033333333333333,,,0.92,0.8166666666666667,0.7466666666666667,0.4166666666666667,1.0,0.7
65205927_600_10,65205927,600,10,0.86,0.8733333333333333,0.8833333333333333,0.86,0.8033333333333333,0.8333333333333334,,,0.85,0.8533333333333334,0.74,0.45666666666666667,1.0,0.68
23543760_600_10,23543760,600,10,0.8366666666666667,0.8733333333333333,0.8633333333333333,0.87,0.8933333333333333,0.8633333333333333,,,0.85,0.8633333333333333,0.8333333333333334,0.41333333333333333,1.0,0.7466666666666667
80717434_600_10,80717434,600,10,0.8666666666666667,0.8566666666666667,0.9133333333333333,0.8633333333333333,0.9066666666666666,0.8366666666666667,,,0.89,0.85,0.7533333333333333,0.4,1.0,0.7233333333333334
9979487_600_10,9979487,600,10,0.92,0.8433333333333334,0.8866666666666667,0.8466666666666667,0.9133333333333333,0.84,,,0.8766666666666667,0.8266666666666667,0.7666666666666667,0.44666666666666666,1.0,0.6233333333333333
38995565_600_10,38995565,600,10,0.89,0.85,0.9466666666666667,0.8466666666666667,0.9,0.8266666666666667,,,0.88,0.8466666666666667,0.86,0.45,1.0,0.67
56408566_600_10,56408566,600,10,0.8833333333333333,0.8666666666666667,0.88,0.86,0.87,0.83,,,0.8666666666666667,0.8333333333333334,0.5333333333333333,0.44666666666666666,1.0,0.6633333333333333
73573650_600_10,73573650,600,10,0.8833333333333333,0.8366666666666667,0.8366666666666667,0.8366666666666667,0.8733333333333333,0.8266666666666667,,,0.8766666666666667,0.8333333333333334,0.5933333333333334,0.43333333333333335,1.0,0.69
52816593_600_10,52816593,600,10,0.8633333333333333,0.85,0.8666666666666667,0.8566666666666667,0.8966666666666666,0.8433333333333334,,,0.8866666666666667,0.8466666666666667,0.7133333333333334,0.41333333333333333,1.0,0.7166666666666667
62293924_600_10,62293924,600,10,0.8466666666666667,0.8566666666666667,0.8433333333333334,0.8466666666666667,0.89,0.8133333333333334,,,0.84,0.8533333333333334,0.8066666666666666,0.44,1.0,0.7366666666666667
49989547_600_10,49989547,600,10,0.8666666666666667,0.8533333333333334,0.8866666666666667,0.8366666666666667,0.8466666666666667,0.79,,,0.86,0.84,0.78,0.4666666666666667,1.0,0.71
38711438_600_10,38711438,600,10,0.8633333333333333,0.8466666666666667,0.8666666666666667,0.85,0.8866666666666667,0.83,,,0.9266666666666666,0.8433333333333334,0.47333333333333333,0.44,1.0,0.7
38597914_600_10,38597914,600,10,0.87,0.8466666666666667,0.8533333333333334,0.84,0.8533333333333334,0.8233333333333334,,,0.94,0.8666666666666667,0.6666666666666666,0.4533333333333333,1.0,0.6733333333333333
14266954_600_10,14266954,600,10,0.8633333333333333,0.8533333333333334,0.85,0.8466666666666667,0.86,0.8266666666666667,,,0.8,0.8566666666666667,0.95,0.43666666666666665,1.0,0.7133333333333334
27131161_600_10,27131161,600,10,0.8933333333333333,0.84,0.94,0.8366666666666667,0.93,0.8266666666666667,,,0.9266666666666666,0.83,0.5,0.44333333333333336,1.0,0.7466666666666667
51841837_600_10,51841837,600,10,0.8433333333333334,0.88,0.8266666666666667,0.87,0.9666666666666667,0.8233333333333334,,,0.93,0.8566666666666667,0.71,0.42333333333333334,1.0,0.6933333333333334
41904826_600_10,41904826,600,10,0.8433333333333334,0.86,0.84,0.8633333333333333,0.84,0.8366666666666667,,,0.82,0.8366666666666667,0.55,0.4633333333333333,0.9966666666666667,0.7066666666666667
69449802_600_10,69449802,600,10,0.8966666666666666,0.86,0.89,0.8633333333333333,0.9266666666666666,0.83,,,0.8833333333333333,0.8633333333333333,0.5666666666666667,0.4266666666666667,1.0,0.6866666666666666
68936068_600_10,68936068,600,10,0.8466666666666667,0.87,0.85,0.8666666666666667,0.89,0.84,,,0.86,0.8766666666666667,0.6933333333333334,0.4166666666666667,1.0,0.7266666666666667
95378996_600_10,95378996,600,10,0.88,0.86,0.8633333333333333,0.86,0.8633333333333333,0.8333333333333334,,,0.8333333333333334,0.8633333333333333,0.39,0.43666666666666665,1.0,0.7433333333333333
41932288_600_10,41932288,600,10,0.8466666666666667,0.8566666666666667,0.85,0.8466666666666667,0.8766666666666667,0.82,,,0.86,0.8533333333333334,0.8533333333333334,0.44,1.0,0.6633333333333333
25677260_600_10,25677260,600,10,0.9166666666666666,0.85,0.93,0.85,0.9,0.8233333333333334,,,0.88,0.8533333333333334,0.5933333333333334,0.44333333333333336,1.0,0.7066666666666667
55094816_600_10,55094816,600,10,0.9766666666666667,0.8333333333333334,0.8133333333333334,0.82,0.8633333333333333,0.8,,,0.8033333333333333,0.81,0.6966666666666667,0.44333333333333336,1.0,0.7066666666666667
85216049_600_10,85216049,600,10,0.8933333333333333,0.84,0.8933333333333333,0.8366666666666667,0.8633333333333333,0.78,,,0.9533333333333334,0.8266666666666667,0.57,0.44,1.0,0.6933333333333334
17104584_600_10,17104584,600,10,0.94,0.8533333333333334,0.9,0.8533333333333334,0.8833333333333333,0.8266666666666667,,,0.91,0.85,0.6466666666666666,0.42333333333333334,0.9966666666666667,0.6633333333333333
